"Video ",Video Link
MQL Count,https://www.loom.com/share/2fb85be8e7df416d868367c3c7cdb360?sid=163686eb-38b9-4dc9-9897-ca6101243713
SQL Count,https://www.loom.com/share/b68e65e3eab6479dac6fea79dba5a225?sid=3eab7b4b-4f4f-4304-a818-d2aacb3538d8
Deal Created Count,https://www.loom.com/share/cfcdad1e9d46465da0a121ba976b004d?sid=a7262eaf-22f1-41d9-a592-eb580624b569
Pipeline Deal Count,https://www.loom.com/share/86fa31f86f4545f8843f49e6bdf054f4?sid=50f70e66-05f9-4336-8ee1-fe9c52b85035
Closed Won Count,https://www.loom.com/share/23e2df2517f24fa5acf3cad4dd211afa?sid=b83a607e-4777-4245-ad63-151cc70ec75d
Pipeline Amount,https://www.loom.com/share/21359ed41b7840a99113694395c5b927?sid=d64e5cfa-e56d-4b93-a982-a349fca0d6c4
Closed Won Amount,https://www.loom.com/share/f7523c390b3147baa526d8e5c35600cf?sid=d1bdd999-9771-4d5d-b70e-83c4d515b52d
MQL Trend,https://www.loom.com/share/4ba0f2a4cbfb4447af0dadcbd975e554?sid=fc0981d5-6be4-422e-be29-8c4d02a2f079
SQL Trend,https://www.loom.com/share/f08833f58cb54751bbc964f7e9bf6002?sid=ee23251f-00cc-4a74-8aeb-68a1ba26e9c9
Deal Created Trend,https://www.loom.com/share/9067dc90021246dfa282bcc3c7eed40d?sid=18ca678a-6a6f-461b-8fa5-31bdc976a3e8
Pipeline Deal Trend,https://www.loom.com/share/aaab5ce68ef74b35957b7b007c220068?sid=49d8916c-0e27-4b06-a538-d764b18747dc
Pipeline Amount Trend,https://www.loom.com/share/0599c934f1864ef493b8bc223bc767f6?sid=14fddbf8-aa07-4cb7-92c8-3eee426c4b3c
Closed Won Trend,https://www.loom.com/share/a80bd17dc42d4c7391c1e6f736a63316?sid=89b6a9fb-99b8-4027-9519-387f1298dc19
Closed Won Amount Trend,https://www.loom.com/share/ed0cc0953f78438c8d4437cfbf5315d7?sid=0c6e827c-7733-4826-b411-8788f401986f
