"Video ",Video Link
https://www.loom.com/share/e4ef5230d2e7480e8f377f01d094ff64?sid=f7e30c87-a644-4640-9ff7-feccee30703a,https://www.loom.com/share/e4ef5230d2e7480e8f377f01d094ff64?sid=f7e30c87-a644-4640-9ff7-feccee30703a
https://www.loom.com/share/25de4ed559794ee880d0a7e69c9735f0?sid=162bdf54-7fea-4f77-90be-2f4942a803d7,https://www.loom.com/share/25de4ed559794ee880d0a7e69c9735f0?sid=162bdf54-7fea-4f77-90be-2f4942a803d7
https://www.loom.com/share/0343e3e906f847de8e6cb8f4838c143e?sid=72a653a5-24a4-4a52-95d6-c73169b2da43,https://www.loom.com/share/0343e3e906f847de8e6cb8f4838c143e?sid=72a653a5-24a4-4a52-95d6-c73169b2da43
Closed Won,https://www.loom.com/share/6c4b4cb90b1f4109bba6ebd53ebabe2c?sid=d6deec78-da36-405c-ae68-72b508bb01ed
Event Touchpoints,https://www.loom.com/share/6429806d51494c268c7f6fd030870a13?sid=ea9ecc44-450c-4c9d-b1e0-2e6f3cb0806b
Pipeline Stage,https://www.loom.com/share/92142f4751194d1396b0c1f9f7682497?sid=ed671d91-6454-442f-aa85-3b9683c4c783
Event Attendees,https://www.loom.com/share/bda1f68c4e5d4cd8ad54d62c21c2d23d?sid=742e2c15-4228-40e0-8068-c349d9781e1d
New Business Pipeline Stage,https://www.loom.com/share/5f74e1fc867d474381ccfe029c8d8000?sid=d28455cf-9c09-44e7-bcc4-fdfe4c834dd6
Existing Business Pipeline Stage,https://www.loom.com/share/1593934b1b5d4c4a9ac9847ca92a9d12?sid=b495a82d-205f-4f17-9005-e34c5fd8453f
Deal Created - All,https://www.loom.com/share/9aa02150acdf4e89854b5cd808d70071?sid=f01298c1-3679-4117-abfd-98808b0f114a
