"Video ",Video Link
ABM Accounts in List,https://www.loom.com/share/7128afbf423940df91a1fe7d45573490?sid=179fe7d9-46f2-4aaa-a585-37d1c51487fb
Sales Penetration Rate,https://www.loom.com/share/e0465d12586943f6b625b123e3fbb30b?sid=e60ac606-24bf-4b35-b8b0-3b3da5da8694
Marketing Penetration Rate,https://www.loom.com/share/70599849896d42ac982241395598252e?sid=f75f4b6e-51d7-463d-bb86-eda386344ca4
Cold Account Rate,https://www.loom.com/share/e326431e529c4f77b6086772f9755b6b?sid=29895349-0125-4213-bb22-ad907332b62d
High Intent Accounts without Deals,https://www.loom.com/share/f5470f6e55d54308864466cc6905dfde?sid=e1075e76-1b4d-43b8-b538-cc2b9ef80571
Cold Accounts,https://www.loom.com/share/236ce17781ee4125956cdeae2b6e367d?sid=7b71ac97-d126-4a7c-93ff-334c3887696d
Marketing Influenced Accounts Requiring a Sales Touch,https://www.loom.com/share/50001b73ea4d459aa5e0f5fd8f551d54?sid=f0a0f061-5c97-4e95-a69e-3407dfcf2d15
Deal Trend,https://www.loom.com/share/deb6b50adce9417c9dd21ea470b14dd7?sid=46decd1f-63df-41d6-b407-fa3bcd8039b7
Deal Value Trend,https://www.loom.com/share/c2e82f9ad8e14b17825d81c3f7690618?sid=7c18e9a1-9a03-4e31-bab7-b8ebf49ab54d
# of Deals in Pipeline,https://www.loom.com/share/64f842009eaa4c69bc9d72d8a7f795ab?sid=a1e67e68-0a29-415a-ba50-bfded7281de8
Deal Value in Pipeline,https://www.loom.com/share/95c94d57906f4c12b530e11a17879b3c?sid=bb0db60f-c113-4ef6-8ad4-c861dd27da12
