"Video ",Subject,Sub Subject,Category,Feature Tags,Video Link
https://www.loom.com/share/53c15233577a46078616cef3f92da2cd?sid=c5293738-c97f-418f-a8ed-6307b76d909c,Report,Number,CMO Dash Template,,https://www.loom.com/share/53c15233577a46078616cef3f92da2cd?sid=c5293738-c97f-418f-a8ed-6307b76d909c
https://www.loom.com/share/6baef4b24eba49c7958145c8c8c72258?sid=4f733db2-43ee-431c-9232-19bbe39137f8,"Report ",Number,CMO Dash Template,,https://www.loom.com/share/6baef4b24eba49c7958145c8c8c72258?sid=4f733db2-43ee-431c-9232-19bbe39137f8
https://www.loom.com/share/4f3dd471001f4af387baafe4ea126048?sid=92710985-d991-4b7d-bbcc-f861e8c6a9b9,Report,"Number ",CMO Dash Template,,https://www.loom.com/share/4f3dd471001f4af387baafe4ea126048?sid=92710985-d991-4b7d-bbcc-f861e8c6a9b9
https://www.loom.com/share/434e358e5aac45dab482f91364eb81b5?sid=a5699226-749a-448a-969c-fed57735da24,Report,Number,CMO Dash Template,,https://www.loom.com/share/434e358e5aac45dab482f91364eb81b5?sid=a5699226-749a-448a-969c-fed57735da24
https://www.loom.com/share/40d15298b6c6498cae4fd22ecba9c2ac?sid=f98fcc71-e0f1-4c75-8e32-48b3f802c2ad,Report,Number,CMO Dash Template,"Inline Column Filter, Target Toggle",https://www.loom.com/share/40d15298b6c6498cae4fd22ecba9c2ac?sid=f98fcc71-e0f1-4c75-8e32-48b3f802c2ad
https://www.loom.com/share/8fc95054615b4686aa04b1d63254e9b0?sid=2db2101d-fa10-44ab-8ccf-9937e0674de4,"Report ",Number,CMO Dash Template,"Divide By, Target Toggle",https://www.loom.com/share/8fc95054615b4686aa04b1d63254e9b0?sid=2db2101d-fa10-44ab-8ccf-9937e0674de4
https://www.loom.com/share/887430fa23684cb4818451a07724cd12?sid=a127e9ad-37bc-4213-8245-26a32ff9d2af,Report,Table,CMO Dash Template,Attribution,https://www.loom.com/share/887430fa23684cb4818451a07724cd12?sid=a127e9ad-37bc-4213-8245-26a32ff9d2af
https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4,Report,Number,"CMO Dash Template, Gaetano DiNardi's Blog Vitals Dashboard","Divide By, Inline Column Filter, Percent Ratio Format",https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4
https://www.loom.com/share/8ffc82cc93244e679c31e984f9ef4527?sid=21c55456-da74-4a4f-a26a-40e920408782,Report,Number,CMO Dash Template,"Divide By, Inline Column Filter, Percent Ratio Format",https://www.loom.com/share/8ffc82cc93244e679c31e984f9ef4527?sid=21c55456-da74-4a4f-a26a-40e920408782
https://www.loom.com/share/6d1eae514e784edcbedd2eb93abba4ac?sid=44000eae-281b-448c-aad2-67824e9fad1f,Report,Number,"Business, CMO Dash Template","Divide By, Sequence of Actions",https://www.loom.com/share/6d1eae514e784edcbedd2eb93abba4ac?sid=44000eae-281b-448c-aad2-67824e9fad1f
