"Video ",Video Link
Event Influenced Pipeline,https://www.loom.com/share/6f7dac3d2104426f979edb79e43bc305?sid=376c15be-19ae-413e-a1b4-608498323ad0
New Business Event Influenced Pipeline,https://www.loom.com/share/b479f3d5438f420eb3466cc3abc06c82?sid=d47af377-2784-4ebe-853b-1e22c1fe4060
Existing Business Event Influenced Pipeline,https://www.loom.com/share/e1ed6a488e5d469aa2c537aaeddf63b8?sid=e7c7d90f-eb35-4183-85a3-94b48917da56
% of Total Pipeline Influenced by Events,https://www.loom.com/share/4673bfd0a5ea484fbe719f3e964a7134?sid=a76cbc47-755e-4ab2-b5d9-c14524200d77
Events Uniform Attribution,https://www.loom.com/share/9c4efb9c2af948f482398257715e8cfe?sid=65afc70f-ccab-446b-a6e5-a00918f13677
Events Linear Attribution,https://www.loom.com/share/a9f480600c4445699597ad533be2e90d?sid=be36beb8-9d39-49c9-90cf-7f493350128b
Events Impact - 1 Month,https://www.loom.com/share/0af8ee9b9537430f9796ed29356c4c7e?sid=d28790c3-6aaf-480c-b980-36d9f92eef9d
Events Impact - 3 Months,https://www.loom.com/share/ada1d396e21b4f77b734c5b57654107f?sid=3fa907df-a2c4-4e9f-857b-7db46a2ea533
Events Impact - 6 Months,https://www.loom.com/share/9754b56d4ee643de8d979f39760ec5f3?sid=c5a54e8e-0443-4ab6-bace-71af0ea29b5b
Event to Opportunity Time,https://www.loom.com/share/c9f4fceb61c74920ba921b2e4f5d06bc?sid=48b93003-931d-4a5d-8cef-7962cc0d7638
Average Number of Event Touchpoints Before Opportunity,https://www.loom.com/share/a3cecb33ff7d4f6f9ba240f9b236cd1d?sid=97e1cbc5-9c73-4f67-90a6-77039ef32354
Average Number of Event Touchpoints between Opp Created -> Closed Won,https://www.loom.com/share/0648aef934fb4589b80f24ee97f16d0f?sid=29885ef7-9991-44af-89fc-eff52be01c88
Lift of Events on Opp Creation,https://www.loom.com/share/6398e4774894494d86b2d4ec5a1e03e8?sid=653926ed-76e4-4835-8004-7ae1476aeb6c
Lift of Events on Closed Won,https://www.loom.com/share/c0bb79f7dc954076b6b89ec1ac1bfcc0?sid=970b1135-9fc9-4fd6-b193-fec50b556ebd
User Journey with Events,https://www.loom.com/share/a6706d4bdae4432db5df8ba042418ea9?sid=e60fdacd-16eb-4da9-981e-42a482e79a03
