"Video ",Subject,Sub Subject,Category,Feature Tags,Video Link
LinkedIn Spend,Report,Number,LinkedIn Dash,,https://www.loom.com/share/d84a324c71a1481391de48b37f087c6e?sid=ee307e62-56c3-4b53-91fe-f0103b394ccd
LinkedIn Impressed Accounts,Report,Number,LinkedIn Dash,,https://www.loom.com/share/a6c91804e75b4ca58bc3bf574f348bdc?sid=e4543467-f87f-4349-9198-8642c5f36098
LinkedIn Traffic,Report,Number,LinkedIn Dash,,https://www.loom.com/share/d29aed4589914f7d83d14d81fb9aa7af?sid=434a78ad-e232-4e13-86f3-b415e64395f0
LinkedIn CPC,Report,Number,LinkedIn Dash,,https://www.loom.com/share/b94f851797774dd09b0b7fc8f4516f0b?sid=eef9b9e4-f330-4232-9650-007f9561d588
LinkedIn Influenced Leads,Report,Number,LinkedIn Dash,,https://www.loom.com/share/cbc1c505f6984e00a4b35f65a123a187?sid=f30d26e0-cc63-48a2-9374-acec98a5f680
LinkedIn Cost per Lead,Report,Number,LinkedIn Dash,,https://www.loom.com/share/93dc6f147bb742f5b6150ee10e8e03f3?sid=29413243-d967-4dc8-91de-e4c25fa82846
LinkedIn Influenced Qualified Leads,Report,Number,LinkedIn Dash,,https://www.loom.com/share/a9aae6092fd543a2932a59bbd0b837dd?sid=92499d9b-b20f-490a-8a2f-451e365ba707
LinkedIn Cost per Qualified Lead,Report,Number,LinkedIn Dash,,https://www.loom.com/share/3d8f2a8b46e04508a7fe78999a235c5d?sid=9d28b631-18e0-40fa-aeb4-ab1046a83cdb
LinkedIn Influenced Deal Value Trend,Report,Line,LinkedIn Dash,,https://www.loom.com/share/28e5e3949b8042958f6bececdcf86888?sid=0defb4bd-765a-4591-bc13-a5d4edd22cd0
LinkedIn Influenced Deal Trend,Report,Line,LinkedIn Dash,,https://www.loom.com/share/e19be15d4959457ba5ce038c38bbf654?sid=0abfc97d-a9a0-4137-9ac6-8d79fcf7ab58
LinkedIn Cost Per Deal,Report,Number,LinkedIn Dash,,https://www.loom.com/share/654ea22847cc40589f39f759f88960ed?sid=cc435daf-c068-48b3-ae3e-259e2f1c2f6c
LinkedIn Cost Per Won Deal,Report,Number,LinkedIn Dash,,https://www.loom.com/share/3fe10c753d4a4ecbb36cb2d3965eb983?sid=9058734e-4a3a-49cc-8a10-098239c690bb
LinkedIn ROAS,Report,Number,LinkedIn Dash,,https://www.loom.com/share/aeda079b24924d7893b4be7a444fc961?sid=f07f998b-34c5-4d08-a188-7933954a062e
Campaign Impressions,Report,Attribution Funnel,LinkedIn Dash,,https://www.loom.com/share/25fea34ec57649b497effb31f1f160a8?sid=a5a6830e-0389-4743-8d67-a9a8a0a194a7
https://www.loom.com/share/9ea793fcb564429c8a2c2612a5cbfb3a?sid=8eacbaf2-32d1-4c52-8f61-94abbe23ee32,Report,"Number ","LinkedIn Dash, Paid",,https://www.loom.com/share/9ea793fcb564429c8a2c2612a5cbfb3a?sid=8eacbaf2-32d1-4c52-8f61-94abbe23ee32
LinkedIn Campaigns Groups (Time Decay Attribution),Report,Table,LinkedIn Dash,,https://www.loom.com/share/2d9483086e9d46c49ae25819b291b45e?sid=6d314040-1983-41cf-8711-6815502ed8d4
LinkedIn Campaigns (Position Based Attribution),Report,Table,LinkedIn Dash,,https://www.loom.com/share/bb8e591cb8534938b7693fa6f3352635?sid=0e2ff531-306e-4105-bc69-6df3a72be3c5
LinkedIn Creatives (Uniform Attribution),Report,Table,LinkedIn Dash,,https://www.loom.com/share/0ed113f175e24d26bbaaaa5346c5f0fb?sid=2d3f8313-38de-412f-9d06-1a0b508cdc1e
Metrics for LinkedIn Influenced Leads,Report,Table,LinkedIn Dash,,https://www.loom.com/share/8c04470160e8447cb8436377e3f9165e?sid=a4c5ce5b-35d7-4254-b1cf-3847001e14f0
Metrics for Non-LinkedIn Influenced Leads,Report,Table,LinkedIn Dash,,https://www.loom.com/share/afaf4806fd8d4be0ae61991b812846c8?sid=fa6c4171-873d-4bcd-9998-d69e84723750
