"Video ",Subject,Sub Subject,Category,Feature Tags,Video Link
Region Performance (Direct),Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/728e8064fd4540f3a47759db9c58d9d2?sid=f7afe277-f4eb-4846-92d5-e235478ccdce
User Journey with Google Ads,Report,Attribution Funnel,Roman Krs's Google Ads Template,,https://www.loom.com/share/f23adf1a8a3349dc80c6c849fa5146f3?sid=b1a9c60f-4c86-4e58-8151-de3709913a3b
Lift of Keywords on Closed Won,Report,Lift,Roman Krs's Google Ads Template,,https://www.loom.com/share/fcc5ee30993340948e3567a403f816d7?sid=c52fb838-f060-483e-b900-15ccd4640c7d
Lift of Keywords on Pipeline,Report,Lift,Roman Krs's Google Ads Template,,https://www.loom.com/share/af68e189b07d41729bbc7a82661e26ef?sid=9f4cdfc5-59b7-4e25-b050-a673c1818b22
Lift of Keywords on Leads,Report,Lift,Roman Krs's Google Ads Template,,https://www.loom.com/share/af68e189b07d41729bbc7a82661e26ef?sid=9f4cdfc5-59b7-4e25-b050-a673c1818b22
Conversion Rates Linear,Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/97b1b1682ba34ea98eb4e95e82ecae0c?sid=ed47811e-2c09-4fff-bfbd-0635d6de12ab
SRA Mentioning Google,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/14bf803a59b44f6e83b1eabd95af9cd5?sid=fd871d21-a631-4b39-b4fd-649f5c3e34a8
Google Website Visits Until Closed Won,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/842537b9db7245248fdaf52f87831939?sid=68f06f19-7b88-4c4d-bcca-e5aafea13910
Google Website Visits until Lead,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/7b37bc828a62400ba436acb519d5f7eb?sid=f4b44997-fb65-4c16-a8f5-829743daddfc
Google Website Visits Until Deal,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/69094f39eba44aa3aca0972fb8c8ee92?sid=0f94d8fc-8854-421d-afbb-94fb8ad9d44b
Direct Conversion Rates,Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/dd5449bb6eed401698db28634dd0cc1c?sid=46f59576-5daf-476a-8449-4c335bbcd744
Direct Conversions / Demo,Report,Line,Roman Krs's Google Ads Template,,https://www.loom.com/share/abc14ba1edc34823b20e1fd80d015ad3?sid=d2ef1bed-a21b-489d-b738-5e2d7627bb66
Channel Metrics over Time,Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/ceb33096875748c8a18b276e084c199b?sid=c573a585-3faa-44da-ba8e-fadf5d2f6132
Cost Per Aquisition,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/eb926073c72948349aad9f51e511e106?sid=d5194170-955a-41de-b69a-f509cce9c241
Conversion Rate,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/3b32c8212b60468a894939851294c567?sid=ba05961c-abe1-490c-9415-f582bd36ade6
Spent - USA,Report,Number,Roman Krs's Google Ads Template,,https://www.loom.com/share/4cac962952e14eb3b4cdabfe40c391ed?sid=449982ed-9a45-4bcb-a16d-af6e4b701a0f
Campaign Performance (Direct),Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/98022eaba594451ebbd79fefabea86de?sid=c189fb05-8aee-4d72-8efb-13c411455027
Keywords Performance (Direct),Report,Table,Roman Krs's Google Ads Template,,https://www.loom.com/share/af68e189b07d41729bbc7a82661e26ef?sid=2f89ded2-7f5c-4398-965b-49a77056114b
